Dataset Reg ID,Dataset Name,Dataset Schema Version,Virtual Folder Name,Datasource URI,Attribute Name,Attribute Value Sequence,Attribute Category Value,Frequency_Count
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,13,42035,225
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,14,102052,214
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,15,12051,209
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,16,72052,206
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,17,52052,192
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,18,52049,192
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,19,72050,190
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,20,12052,185
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mod_flag,1,N,9376
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mod_flag,2,,103
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mod_flag,3,Y,21
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_cancel_indicator,1,,9500
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,1,,5365
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,2,25,1685
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,3,30,1228
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,4,12,894
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,5,35,303
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,6,16,21
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,7,18,3
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,8,844,1
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,1,35620,815
